rank,ticker,company_name,market,sector,industry,investment_theme,universe_role,selection_reason,data_start_date,is_active,notes
90,352820,하이브,KOSPI,소비재·유통·엔터테인먼트,엔터테인먼트,"K팝, 콘텐츠",Growth,K팝 지식재산권과 글로벌 팬덤 경제를 대표하는 성장주입니다.,2020-10-15,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
91,035900,JYP Ent.,KOSDAQ,소비재·유통·엔터테인먼트,엔터테인먼트,"K팝, 콘텐츠",Growth,KOSDAQ 엔터 대표주로 글로벌 콘텐츠 성장성을 반영합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
92,017670,SK텔레콤,KOSPI,통신·인프라,무선통신,"통신, AI 인프라",Defensive,통신 방어성과 AI 데이터센터 신사업 노출을 함께 제공합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
93,030200,케이티,KOSPI,통신·인프라,유무선통신,"통신, 클라우드",Defensive,유무선 통신 기반의 안정적 현금흐름과 배당 성격을 반영합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
94,032640,LG유플러스,KOSPI,통신·인프라,무선통신,"통신, 미디어",Defensive,통신 3사 분산과 내수 방어주 특성을 제공합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
95,365340,성일하이텍,KOSDAQ,통신·인프라,배터리 리사이클링 인프라,"순환자원, 인프라",Growth,배터리 재활용 인프라 성장성을 반영하는 KOSDAQ 후보입니다.,2022-07-28,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요; KOSDAQ 유동성은 월별 거래대금 필터 재확인
96,000720,현대건설,KOSPI,건설·운송·기타,건설 및 플랜트,"건설, 원전, 인프라",Cyclical,국내외 건설·플랜트와 원전 인프라 사이클을 반영합니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
97,006360,GS건설,KOSPI,건설·운송·기타,건설,"건설, 인프라",Cyclical,주택과 인프라 경기 변동성을 반영하는 건설 대표 종목입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
98,047040,대우건설,KOSPI,건설·운송·기타,건설,"건설, 해외수주",Cyclical,해외수주와 주택 경기 회복 모멘텀을 포착할 수 있습니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
99,028260,삼성물산,KOSPI,건설·운송·기타,상사·건설·패션 지주,"지주, 건설, 상사",Core,"건설, 상사, 바이오 지분가치를 함께 가진 복합 대형주입니다.",2014-12-18,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
100,011200,HMM,KOSPI,건설·운송·기타,해운,"해운, 운송",Cyclical,컨테이너 운임 사이클을 반영하는 운송 대표주입니다.,2010-01-01,True,2026-07 기준 상장 보통주 후보; 백테스트 전 시점별 상장 여부와 거래정지 이력 확인 필요
